"TIME","GEO","SIEC","PARTNER","UNIT","Value","Flag and Footnotes"
"2013","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","20.231,000",""
"2013","Estonia","Oil and petroleum products","Total","Thousand tonnes","746,000",""
"2013","Ireland","Oil and petroleum products","Total","Thousand tonnes","1.241,000",""
"2013","Greece","Oil and petroleum products","Total","Thousand tonnes","14.182,000",""
"2013","Spain","Oil and petroleum products","Total","Thousand tonnes","22.278,000",""
"2013","France","Oil and petroleum products","Total","Thousand tonnes","19.028,000",""
"2013","Croatia","Oil and petroleum products","Total","Thousand tonnes","1.536,000",""
"2013","Italy","Oil and petroleum products","Total","Thousand tonnes","24.452,000",""
"2013","Cyprus","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2013","Latvia","Oil and petroleum products","Total","Thousand tonnes","676,000",""
"2013","Lithuania","Oil and petroleum products","Total","Thousand tonnes","8.305,000",""
"2013","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","8,354",""
"2013","Hungary","Oil and petroleum products","Total","Thousand tonnes","2.982,000",""
"2013","Malta","Oil and petroleum products","Total","Thousand tonnes","151,000",""
"2013","Netherlands","Oil and petroleum products","Total","Thousand tonnes","101.752,273",""
"2013","Austria","Oil and petroleum products","Total","Thousand tonnes","2.574,633",""
"2013","Poland","Oil and petroleum products","Total","Thousand tonnes","6.974,000",""
"2013","Portugal","Oil and petroleum products","Total","Thousand tonnes","5.526,000",""
"2013","Romania","Oil and petroleum products","Total","Thousand tonnes","3.848,000",""
"2013","Slovenia","Oil and petroleum products","Total","Thousand tonnes","935,000",""
"2013","Slovakia","Oil and petroleum products","Total","Thousand tonnes","4.122,000",""
"2013","Finland","Oil and petroleum products","Total","Thousand tonnes","9.051,000",""
"2013","Sweden","Oil and petroleum products","Total","Thousand tonnes","9.916,000",""
"2013","Iceland","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2013","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes",":",""
"2013","Norway","Oil and petroleum products","Total","Thousand tonnes","75.146,000",""
"2013","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","60.004,000",""
"2013","Montenegro","Oil and petroleum products","Total","Thousand tonnes","14,000",""
"2013","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","202,000",""
