"TIME","GEO","SIEC","PARTNER","UNIT","Value","Flag and Footnotes"
"2013","Montenegro","Oil and petroleum products","Total","Thousand tonnes","286,000",""
"2013","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","1.063,000",""
"2013","Albania","Oil and petroleum products","Total","Thousand tonnes","1.498,000",""
"2013","Serbia","Oil and petroleum products","Total","Thousand tonnes","2.535,000",""
"2013","Turkey","Oil and petroleum products","Total","Thousand tonnes","40.074,000",""
"2013","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","599,000",""
"2013","Moldova","Oil and petroleum products","Total","Thousand tonnes","790,000",""
"2013","Ukraine","Oil and petroleum products","Total","Thousand tonnes","7.910,000",""
"2013","Georgia","Oil and petroleum products","Total","Thousand tonnes","1.064,000",""
"2014","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","796.854,932",""
"2014","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","879.893,932",""
"2014","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","688.648,932",""
"2014","Belgium","Oil and petroleum products","Total","Thousand tonnes","58.143,800",""
"2014","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","8.110,000",""
"2014","Czechia","Oil and petroleum products","Total","Thousand tonnes","10.764,000",""
"2014","Denmark","Oil and petroleum products","Total","Thousand tonnes","11.892,000",""
"2014","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","126.436,000",""
"2014","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.903,800",""
"2014","Ireland","Oil and petroleum products","Total","Thousand tonnes","7.717,000",""
"2014","Greece","Oil and petroleum products","Total","Thousand tonnes","29.491,000",""
"2014","Spain","Oil and petroleum products","Total","Thousand tonnes","79.493,000",""
"2014","France","Oil and petroleum products","Total","Thousand tonnes","98.617,000",""
"2014","Croatia","Oil and petroleum products","Total","Thousand tonnes","3.932,000",""
"2014","Italy","Oil and petroleum products","Total","Thousand tonnes","71.291,000",""
"2014","Cyprus","Oil and petroleum products","Total","Thousand tonnes","2.299,000",""
"2014","Latvia","Oil and petroleum products","Total","Thousand tonnes","2.328,000",""
"2014","Lithuania","Oil and petroleum products","Total","Thousand tonnes","9.277,000",""
"2014","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","2.729,397",""
"2014","Hungary","Oil and petroleum products","Total","Thousand tonnes","8.938,000",""
"2014","Malta","Oil and petroleum products","Total","Thousand tonnes","2.302,000",""
"2014","Netherlands","Oil and petroleum products","Total","Thousand tonnes","140.001,191",""
"2014","Austria","Oil and petroleum products","Total","Thousand tonnes","13.672,744",""
"2014","Poland","Oil and petroleum products","Total","Thousand tonnes","28.698,000",""
"2014","Portugal","Oil and petroleum products","Total","Thousand tonnes","14.966,000",""
"2014","Romania","Oil and petroleum products","Total","Thousand tonnes","9.289,000",""
"2014","Slovenia","Oil and petroleum products","Total","Thousand tonnes","3.707,000",""
"2014","Slovakia","Oil and petroleum products","Total","Thousand tonnes","6.593,000",""
"2014","Finland","Oil and petroleum products","Total","Thousand tonnes","17.681,000",""
"2014","Sweden","Oil and petroleum products","Total","Thousand tonnes","26.583,000",""
"2014","Iceland","Oil and petroleum products","Total","Thousand tonnes","746,000",""
"2014","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2014","Norway","Oil and petroleum products","Total","Thousand tonnes","5.515,000",""
"2014","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","83.039,000",""
"2014","Montenegro","Oil and petroleum products","Total","Thousand tonnes","294,000",""
"2014","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","1.099,000",""
"2014","Albania","Oil and petroleum products","Total","Thousand tonnes","1.485,000",""
"2014","Serbia","Oil and petroleum products","Total","Thousand tonnes","2.620,000",""
"2014","Turkey","Oil and petroleum products","Total","Thousand tonnes","39.925,000",""
